schema_version,corpus_release_id,poet_id,poet_name,poem_id,title,relative_path,source_bytes,source_sha256,canonical_text_sha256,unicode_character_count,physical_line_count,nonblank_line_count,inventory_word_estimate,warning_codes
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-1edec2aa017f6572,To an Unfortunate Woman whom the Author had known in the days of her Innocence,Samuel Taylor Coleridge/To an Unfortunate Woman whom the Author had known in the days of her Innocence.txt,527,936116850a9578d3bdbeafc417a5102baa5b1fd1f1f979d618e6f029b405a2f3,936116850a9578d3bdbeafc417a5102baa5b1fd1f1f979d618e6f029b405a2f3,527,19,16,87,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-d3e688ff03a985f7,To Asra,Samuel Taylor Coleridge/To Asra.txt,610,872bec33ad50064c1fa64097949627f36f7131467acf4ddf79c82b7d6c75e1e9,872bec33ad50064c1fa64097949627f36f7131467acf4ddf79c82b7d6c75e1e9,610,14,14,112,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-307d47a60414ef15,TO BABY BATES,Samuel Taylor Coleridge/TO BABY BATES.txt,453,ae4cc6dbbb526195e239a27e861d36ea5f6738af630cb49e217d2ce6622b753d,ae4cc6dbbb526195e239a27e861d36ea5f6738af630cb49e217d2ce6622b753d,453,19,16,78,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-d979486181e35cbe,TO CAPTAIN FINDLAY,Samuel Taylor Coleridge/TO CAPTAIN FINDLAY.txt,539,2d59ada531302587a05f037e7bff84bff6716a300bdf5cc765752eccc8fea970,2d59ada531302587a05f037e7bff84bff6716a300bdf5cc765752eccc8fea970,539,19,17,94,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-f7bff8be6beedc5f,To Disappointment. .],Samuel Taylor Coleridge/To Disappointment. .].txt,1161,357f7fefbe1cfa4d749313e1ea41bf107967318dd5fac2d12c77b4584693e64a,357f7fefbe1cfa4d749313e1ea41bf107967318dd5fac2d12c77b4584693e64a,1161,39,32,184,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-dc7046f9f1d93b6c,To Earl Stanhope,Samuel Taylor Coleridge/To Earl Stanhope.txt,632,6075793f4e3ec01436958017b92fa3e0ac15942ba96219fd2a9de3a708105ee8,6075793f4e3ec01436958017b92fa3e0ac15942ba96219fd2a9de3a708105ee8,632,17,14,101,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-4ff61ea7cebcb8e2,TO EDWARD IRVING,Samuel Taylor Coleridge/TO EDWARD IRVING.txt,182,257376444a0880caa055b17d72229941a953ab355885ba105045592907748f22,257376444a0880caa055b17d72229941a953ab355885ba105045592907748f22,182,4,4,32,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-cdedcb2c45b203bf,To Fortune,Samuel Taylor Coleridge/To Fortune.txt,1791,af85f383e1e39aae3f5537717ac42ec068b10ce540452c455d27741599e4f6e0,af85f383e1e39aae3f5537717ac42ec068b10ce540452c455d27741599e4f6e0,1765,45,41,297,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-e24132a453abe3c6,To Lesbia,Samuel Taylor Coleridge/To Lesbia.txt,495,92eb323c5c4016b4bf0dedb3b1d0c5ba521021ecafc3d91b10fdacd83ab5aa15,92eb323c5c4016b4bf0dedb3b1d0c5ba521021ecafc3d91b10fdacd83ab5aa15,495,15,14,59,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-aa333cda3b7740e9,To Mary Pridham [afterwards Mrs. Derwent Coleridge],Samuel Taylor Coleridge/To Mary Pridham [afterwards Mrs. Derwent Coleridge].txt,576,dfe1b60a759cf6422957f7cbfa22b1339b21d40f539e807c36db4878eb477c9c,dfe1b60a759cf6422957f7cbfa22b1339b21d40f539e807c36db4878eb477c9c,576,13,13,97,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-ba50f972f153d932,To Matilda Betham from a Stranger,Samuel Taylor Coleridge/To Matilda Betham from a Stranger.txt,2163,6e6a93548d870d3d4a5846f15e3785ed6aadea1c386a5c4ee19e827c00659b1b,6e6a93548d870d3d4a5846f15e3785ed6aadea1c386a5c4ee19e827c00659b1b,2163,51,49,369,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-2bf705f630133fc1,To Miss A. T,Samuel Taylor Coleridge/To Miss A. T.txt,197,6acaa803e2a35595370af19526fcfa2c5734b8f4c098be6b00c3cc5e9842dc76,6acaa803e2a35595370af19526fcfa2c5734b8f4c098be6b00c3cc5e9842dc76,197,4,4,31,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-f5ed1edec7d9ca4d,To Miss Brunton with the preceding Translation,Samuel Taylor Coleridge/To Miss Brunton with the preceding Translation.txt,390,fa92fc2eeb22eef44804ab297f90d2d602d88ccef202389141184a791f270409,fa92fc2eeb22eef44804ab297f90d2d602d88ccef202389141184a791f270409,390,14,12,67,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-b2d30a18369cfda3,To Nature [ 1820],Samuel Taylor Coleridge/To Nature [ 1820].txt,600,d662b0d44315da56d7473baaeb6b428b48a75ea4f7cc2864e5a5898ae5e474cf,d662b0d44315da56d7473baaeb6b428b48a75ea4f7cc2864e5a5898ae5e474cf,600,14,14,113,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-3abaaa51c045906c,To the Evening Star,Samuel Taylor Coleridge/To the Evening Star.txt,665,b4cdeb60235c42a1e29ebe69aef5adc7bd5ccf8b6194294aacfcb33bb2202a2f,b4cdeb60235c42a1e29ebe69aef5adc7bd5ccf8b6194294aacfcb33bb2202a2f,665,16,14,118,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-94f24798564f8f76,To the Muse,Samuel Taylor Coleridge/To the Muse.txt,545,b6ef27b34d2a0a2960ac600ddfa0d477272ba5b3aef50a883ce6a2a284c1c88a,b6ef27b34d2a0a2960ac600ddfa0d477272ba5b3aef50a883ce6a2a284c1c88a,545,14,14,98,
1.0,versemap-reference-d9969e023145ab13,samuel-taylor-coleridge,Samuel Taylor Coleridge,samuel-taylor-coleridge-fe64c9d967a3d9dd,To the Rev. George Coleridge,Samuel Taylor Coleridge/To the Rev. George Coleridge.txt,3443,e09361ca6c80573ad5b9095b8b29f6e9c62a045beea510636268e4663376e336,e09361ca6c80573ad5b9095b8b29f6e9c62a045beea510636268e4663376e336,3441,83,78,594,
