schema_version,profile_id,profile_build_id,reference_release_id,poet_id,poet_name,poem_id,title,relative_path,source_sha256,vad_midpoint_matched_observations,vad_valence_above_midpoint_deviation_per_observation,vad_valence_below_midpoint_deviation_per_observation,vad_valence_absolute_midpoint_deviation_per_observation,vad_arousal_above_midpoint_deviation_per_observation,vad_arousal_below_midpoint_deviation_per_observation,vad_arousal_absolute_midpoint_deviation_per_observation,vad_dominance_above_midpoint_deviation_per_observation,vad_dominance_below_midpoint_deviation_per_observation,vad_dominance_absolute_midpoint_deviation_per_observation,vad_valence_average_deviation_from_poem_mean,vad_arousal_average_deviation_from_poem_mean,vad_dominance_average_deviation_from_poem_mean
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-c99668f6da9528e9,Scenes from Politian,Edgar Allan Poe/Scenes from Politian.txt,7881216ccaf920327c7866f5fde68f7eca5a4d19546c565073608c72b0ab08a4,1433,0.144046406141,0.0653447313329,0.209391137474,0.0557414515003,0.095611653873,0.151353105373,0.0772407536636,0.075364619679,0.152605373343,0.198458449497,0.146274353064,0.152700947509
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-3468aee0d07edfb5,Silence,Edgar Allan Poe/Silence.txt,9d764e86f468a08af7f4668ebba29aadbe25b1106b234975c5a2a2e55c506d21,47,0.124563829787,0.0588936170213,0.183457446809,0.0430106382979,0.127457446809,0.170468085106,0.0773510638298,0.0781063829787,0.155457446809,0.172911272069,0.145871887732,0.15556994115
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-75f0ac122bac0efa,Song,Edgar Allan Poe/Song.txt,749e5d4069d863d050409d5b0a527d0bfc040d5f031c53da8e306cb01a634b18,33,0.169393939394,0.0369696969697,0.206363636364,0.0751818181818,0.0742424242424,0.149424242424,0.0724545454545,0.0433636363636,0.115818181818,0.174532598714,0.149509641873,0.119140495868
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-858f17437b261025,Spirits of the Dead,Edgar Allan Poe/Spirits of the Dead.txt,8ab257211b967fa65d45bc6f7bbfd52fd1619f7a87cc2af8f95644538df6ed16,59,0.0835677966102,0.106593220339,0.190161016949,0.0422711864407,0.117050847458,0.159322033898,0.0470677966102,0.0846779661017,0.131745762712,0.1906199368,0.141704108015,0.12750186728
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-144a380f981c92b6,Tamerlane,Edgar Allan Poe/Tamerlane.txt,b1a790ec4dd5fec56a9c255f6e4bc57ded5e3f99c145529af39bd408f722ae26,573,0.152840314136,0.0553403141361,0.208180628272,0.0710069808028,0.101686736475,0.172693717277,0.0938394415358,0.062890052356,0.156729493892,0.187623036649,0.169220857737,0.155755738908
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-929e6c70a1536563,The Bells,Edgar Allan Poe/The Bells.txt,bb4c127b2cafc37cdf7deb62f586ca4555330c1bf76dea47e2f0d0b15f74d829,241,0.103211618257,0.0533443983402,0.156556016598,0.0799647302905,0.0635767634855,0.143541493776,0.0539917012448,0.0506597510373,0.104651452282,0.137657891565,0.143353316919,0.104029303903
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-2524fda9bb880756,The City in the Sea,Edgar Allan Poe/The City in the Sea.txt,3189db9f5c9fd01f90eeb0f86735ac96ef6725c29bdeb5a9949d6d63dcbfae25,137,0.132616788321,0.0873759124088,0.21999270073,0.050901459854,0.123266423358,0.174167883212,0.0629525547445,0.090003649635,0.15295620438,0.213929298311,0.157903617667,0.152481378869
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-e737027290663525,The Coliseum,Edgar Allan Poe/The Coliseum.txt,c4538a65750e0ee4137f34329730a1ae266125480a7b67b054cbf57450e50559,136,0.144514705882,0.0694411764706,0.213955882353,0.0692904411765,0.0903345588235,0.159625,0.105988970588,0.0643786764706,0.170367647059,0.197738321799,0.158788711073,0.170756487889
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-f8d018e440431ec1,The Conqueror Worm,Edgar Allan Poe/The Conqueror Worm.txt,a1a2204932af5f55e143dd1e25bb5cef9a5cadafcb3a9bcdfcbb80112fc33a43,89,0.0941404494382,0.106612359551,0.200752808989,0.0949662921348,0.0979494382022,0.192915730337,0.0497078651685,0.0915786516854,0.141286516854,0.200612675167,0.192882211842,0.136173084207
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-d0a8660292b5724f,The Forest Reverie,Edgar Allan Poe/The Forest Reverie.txt,5e561de22b5807a33e105f8fedc47f3a0b29756d1d608c15d82498f0260d4ff3,82,0.156945121951,0.0675,0.224445121951,0.0768353658537,0.088512195122,0.165347560976,0.0721524390244,0.0737012195122,0.145853658537,0.213495240928,0.164249256395,0.145929208804
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-830a489f041feee2,The Happiest Day,Edgar Allan Poe/The Happiest Day.txt,bbdf22bdafa67ff8857aeffa64c4a9bb994aa3fbc7a137305661a52ae499ee72,57,0.189236842105,0.0508421052632,0.240078947368,0.0735,0.0684035087719,0.141903508772,0.149964912281,0.0481842105263,0.198149122807,0.193451523546,0.142171745152,0.187603570329
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-ffdc4ae9e7e089fc,The Haunted Palace,Edgar Allan Poe/The Haunted Palace.txt,dbc73cb9c6846493557ee5fb6aea6ee737a4dffca3e6f01ac90beaead57299e5,119,0.166394957983,0.0525588235294,0.218953781513,0.0575462184874,0.100827731092,0.15837394958,0.0912983193277,0.063781512605,0.155079831933,0.18893256126,0.151506532025,0.15559734482
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-ac76d677a8d74f57,The Lake,Edgar Allan Poe/The Lake.txt,65f819c8ffddf8458889e60428e72d3a2b4e48c85003654f293c3e3e88c8fc79,50,0.13402,0.10191,0.23593,0.07719,0.10938,0.18657,0.05698,0.07695,0.13393,0.2305656,0.1811072,0.1319712
1.0,versemap-standard-profile-1.0,versemap-profile-build-1.1.0,versemap-reference-d9969e023145ab13,edgar-allan-poe,Edgar Allan Poe,edgar-allan-poe-f6e33dfd3082ca43,The Raven,Edgar Allan Poe/The Raven.txt,e5b6829fb51fc72e42a1b1d7609a2c0e1781352f7cd1b9e0d7b24cffba361eb2,429,0.108636363636,0.0763951048951,0.185031468531,0.0548636363636,0.121087412587,0.175951048951,0.0509417249417,0.0945466200466,0.145488344988,0.179888323797,0.16156080982,0.137454333545
